# STATION: AN142
# STATION NAME: South Dekalb
# LATITUDE: 33.69060
# LONGITUDE: -84.27310
# ELEVATION [ft]: 825
# STATE: GA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,INHG,Fahrenheit,%,Miles/hour,Degrees,Inches,Fahrenheit,Fahrenheit,Code,INHG,Fahrenheit,Fahrenheit,INHG
AN142,01/01/2015 02:00 EST,29.47,32.92,37.0,0.67,292.0,,9.26,,WNW,30.11,,,30.36
AN142,01/01/2015 03:00 EST,29.47,32.02,37.0,0.89,281.0,,8.46,,W,30.12,,,30.36
AN142,01/01/2015 04:00 EST,29.47,31.66,,0.45,264.0,,,,W,,,,30.36
AN142,01/01/2015 05:00 EST,29.44,31.12,,0.67,335.0,,,,NNW,,,,30.33
AN142,01/01/2015 06:00 EST,29.44,30.22,,0.67,297.0,,,,WNW,,,,30.33
AN142,01/01/2015 07:00 EST,29.44,29.86,,0.89,301.0,,,,WNW,,,,30.33
AN142,01/01/2015 08:00 EST,29.47,29.86,,0.89,296.0,,,,WNW,,,,30.36
AN142,01/01/2015 09:00 EST,29.47,30.94,,0.22,201.0,,,,SSW,,,,30.36
AN142,01/01/2015 10:00 EST,29.47,36.52,79.0,1.34,227.0,,30.55,,SW,29.78,,,30.36
AN142,01/01/2015 11:00 EST,29.47,43.54,63.0,1.57,249.0,,31.64,,WSW,29.7,,,30.36
AN142,01/01/2015 12:00 EST,29.47,49.12,39.0,1.57,248.0,,25.02,,WSW,29.79,,,30.36
AN142,01/01/2015 13:00 EST,29.41,52.18,31.0,1.79,219.0,,22.25,,SW,29.76,,,30.3
AN142,01/01/2015 14:00 EST,29.38,55.06,28.0,2.24,280.0,,22.35,,W,29.71,,,30.27
AN142,01/01/2015 15:00 EST,29.38,55.06,28.0,2.24,280.0,,22.35,,W,29.71,,,30.27
